Name,Status,Price,Stars,Ratings,Units,"Unit Price","regex method"
"Lot of 10 Intel SSD Pro Drives 7 X 240GB 3 x 180GB",Refurbished,$182.50,Tim,0,10,18.25,2
"Lot of 8 Intel SSDSA2SH032G1GN 32GB 3GB/s 2.5"" SATA SSD Drive",Pre-Owned,$100.00,4.5,0,8,12.5,2
"Lot of 10  ADATA SSD M.2 NGFF 2242 64GB XP0064GDZMF SSD Solid State Drive","Open box",$180.00,0,0,10,18,2
"Lot of 5 128GB mSATA Drive Hard Solid State Drive SSD Laptop Storage",Pre-Owned,$125.00,0,0,5,25,2
"Lot of 10  - LITE-ON LST-32S9G-HP HP 764433-002 Laptop SSD 32GB  - TESTED",Pre-Owned,$90.99,Pre,0,10,9.099,2
"LOT OF 10 128GB Samsung Lite on Intel OCZ  2.5"" SATA SSD",Refurbished,$199.99,LOT,0,10,19.999,2
"Lot of 10 ( ten ) Samsung 128GB mSATA PM851 SSD Internal 1.8"" SATA III 6Gb/s",Pre-Owned,$189.99,0,0,10,18.999,2
"Lot of 10 SanDisk SDSSDP-128G 128GB SATA 6Gb/s 2.5in SSD With Read Up To 475MB/s","Brand New",$330.10,5.0,0,10,33.01,2
"Lot of 6x Mixed Brand 2.5in Small Size SATA SSD Intel Samsung Kingston",Pre-Owned,$116.00,Pre,0,6,19.3333333333333,2
"Lot of 4 x 100GB SFF 2.5"" SAS Solid State Drive SSD EMC 118032770",Pre-Owned,$99.99,0,0,4,24.9975,2
"(Lot of 10) Samsung 256GB TLC 2280 M.2 SSD, Model # MZ-NLN256C (PM871b) HP Part","Brand New",$182.50,Tim,0,10,18.25,2
"Lot of 4 x 200GB SFF 2.5"" SAS Solid State Drive SSD EMC 118032771",Pre-Owned,$199.99,0,0,4,49.9975,2
"~Lot of 10~ SSD 128GB Apple Macbook Air Retina | 2013 - 2015",Pre-Owned,$339.99,0,0,10,33.999,2
"LOT of 4 Kingston A400 120GB SSD SATA 3 2.5 SSD","Brand New",$89.95,0,0,4,22.4875,2
"Lot of 2x Edge SSD SE 847 CDGSD25256GBSE84767M 2.5in 256GB SSD Solid State Drive",Pre-Owned,$44.00,Pre,0,2,22,2
"Lot of 8 - Crucial M4 64GB 2.5"" SATA 6Gb/s SSD CT064M4SSD2 -RR",Pre-Owned,$95.94,Pre,0,8,11.9925,2
"[LOT OF 65 UNITS] 250GB-256GB Internal SSDs SAMSUNG HYNIX SANDISK KINGSTON WD",Pre-Owned,"$1,400.00",0,0,65,21.5384615384615,2
"Lot of 33 Micron MTFDDAK1T0TBN 1100 1TB SSD Solid State Drive 2.5"" SATA III 6.0","Open box","$3,795.00",0,0,33,115,2
"Lot of 3-Intel SSDSCKKF256H6 M.2 SATA SSD 256GB Solid State - New - See Details","Open box",$99.99,0,0,3,33.33,2
